Name,URL,Properties
Yas Island,https://www.bayut.com/for-sale/property/abu-dhabi/yas-island/,"(3,284)"
Al Reem Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-reem-island/,"(3,103)"
Saadiyat Island,https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/,"(1,450)"
Al Raha Beach,https://www.bayut.com/for-sale/property/abu-dhabi/al-raha-beach/,(928)
Al Reef,https://www.bayut.com/for-sale/property/abu-dhabi/al-reef/,(840)
Al Shamkha,https://www.bayut.com/for-sale/property/abu-dhabi/al-shamkha/,(633)
Al Ghadeer,https://www.bayut.com/for-sale/property/abu-dhabi/al-ghadeer/,(433)
Masdar City,https://www.bayut.com/for-sale/property/abu-dhabi/masdar-city/,(306)
Al Raha Gardens,https://www.bayut.com/for-sale/property/abu-dhabi/al-raha-gardens/,(261)
Zayed City (Khalifa City C),https://www.bayut.com/for-sale/property/abu-dhabi/zayed-city-khalifa-city-c/,(183)
Khalifa City A,https://www.bayut.com/for-sale/property/abu-dhabi/khalifa-city-a/,(167)
Hydra Village,https://www.bayut.com/for-sale/property/abu-dhabi/hydra-village/,(148)
Al Jurf,https://www.bayut.com/for-sale/property/abu-dhabi/al-jurf/,(138)
Al Maryah Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-maryah-island/,(124)
The Marina,https://www.bayut.com/for-sale/property/abu-dhabi/the-marina/,(121)
Mohammed Bin Zayed City,https://www.bayut.com/for-sale/property/abu-dhabi/mohammed-bin-zayed-city/,(111)
Al Jubail Island,https://www.bayut.com/for-sale/property/abu-dhabi/al-jubail-island/,(101)
Shakhbout City (Khalifa City B),https://www.bayut.com/for-sale/property/abu-dhabi/shakhbout-city-khalifa-city-b/,(100)
Al Salam Street,https://www.bayut.com/for-sale/property/abu-dhabi/al-salam-street/,(88)
Al Raha Golf Gardens,https://www.bayut.com/for-sale/property/abu-dhabi/al-raha-golf-gardens/,(72)
Al Samha,https://www.bayut.com/for-sale/property/abu-dhabi/al-samha/,(70)
Baniyas,https://www.bayut.com/for-sale/property/abu-dhabi/baniyas/,(64)
Nareel Island,https://www.bayut.com/for-sale/property/abu-dhabi/nareel-island/,(59)
Al Mushrif,https://www.bayut.com/for-sale/property/abu-dhabi/al-mushrif/,(48)
Al Muroor,https://www.bayut.com/for-sale/property/abu-dhabi/al-muroor/,(44)
Abu Dhabi Gate City (Officers City),https://www.bayut.com/for-sale/property/abu-dhabi/abu-dhabi-gate-city-officers-city/,(41)
Al Gurm,https://www.bayut.com/for-sale/property/abu-dhabi/al-gurm/,(36)
Al Shamkha South,https://www.bayut.com/for-sale/property/abu-dhabi/al-shamkha-south/,(23)
Al Bateen,https://www.bayut.com/for-sale/property/abu-dhabi/al-bateen/,(20)
Nurai Island,https://www.bayut.com/for-sale/property/abu-dhabi/nurai-island/,(18)
Al Maqtaa,https://www.bayut.com/for-sale/property/abu-dhabi/al-maqtaa/,(16)
Marina Village,https://www.bayut.com/for-sale/property/abu-dhabi/marina-village/,(15)
Rabdan,https://www.bayut.com/for-sale/property/abu-dhabi/rabdan/,(14)
Madinat Zayed,https://www.bayut.com/for-sale/property/abu-dhabi/madinat-zayed/,(14)
Al Matar,https://www.bayut.com/for-sale/property/abu-dhabi/al-matar/,(14)
Madinat Al Riyadh,https://www.bayut.com/for-sale/property/abu-dhabi/madinat-al-riyadh/,(10)
Al Rahba,https://www.bayut.com/for-sale/property/abu-dhabi/al-rahba/,(10)
Al Manaseer,https://www.bayut.com/for-sale/property/abu-dhabi/al-manaseer/,(9)
Al Shawamekh,https://www.bayut.com/for-sale/property/abu-dhabi/al-shawamekh/,(9)
Al Khalidiyah,https://www.bayut.com/for-sale/property/abu-dhabi/al-khalidiyah/,(8)
Ghantoot,https://www.bayut.com/for-sale/property/abu-dhabi/ghantoot/,(8)
Al Qurm,https://www.bayut.com/for-sale/property/abu-dhabi/al-qurm/,(7)
Between Two Bridges (Bain Al Jessrain),https://www.bayut.com/for-sale/property/abu-dhabi/bain-al-jessrain/,(7)
Rawdhat Abu Dhabi,https://www.bayut.com/for-sale/property/abu-dhabi/rawdhat-abu-dhabi/,(6)
Corniche Area,https://www.bayut.com/for-sale/property/abu-dhabi/corniche-area/,(6)
Al Nahyan,https://www.bayut.com/for-sale/property/abu-dhabi/al-nahyan/,(6)
Al Wahdah,https://www.bayut.com/for-sale/property/abu-dhabi/al-wahdah/,(5)
Airport Street,https://www.bayut.com/for-sale/property/abu-dhabi/airport-street/,(5)
